アズキ,Red Bean
インゲン豆,Snap Bean
枝豆,Edamame
エンドウ豆,Pea
オクラ,Okra
カイワレ大根,Radish Sprouts
カブ,Turnip
カボチャ,Pumpkin/Squash
カリフラワー,Cauliflower
絹サヤ/サヤエンドウ,Snow Pea
キャベツ,Cabbage
キュウリ,Cucumber
ゴボウ,Burdock Root
サツマイモ,Sweet Potato
サトイモ,Taro
サヤインゲン,String Bean
ジャガイモ,Potato
ショウガ,Ginger
スイカ,Watermelon
ソラ豆,Fava Bean
ダイコン,Daikon/Daikon Radish
ダイズ,Soy Bean
タケノコ,Bamboo Shoot
タマネギ,Onion
チンゲンサイ,Bok Choy
トウガラシ,Hot Pepper/Red Pepper/Chili
ナガイモ,Chinese Yam
ナス,Eggplant
ニラ,Chinese Leek/Chinese Chives
ニンジン,Carrot
ニンニク,Garlic
長ネギ,Scallion/Green Onion
ハクサイ,Chinese Cabbage/Napa Cabbage
パセリ,Parsley
ピーマン,Pepper/Bell(Sweet) Pepper
ホウレンソウ,Spinach
モヤシ,Bean Sprouts
レンコン,Lotus Root
舌,Tongue
首,Neck
首周辺肉/肩ロース,Chuck
胸肉,Brisket
スネ,Shank
あばら肉/リブロース,Rib
ロース芯,Rib Eye
(骨付き)カルビ,Short Rib
下バラ肉,Short Plate (Hanger Steak/Skirt Steak)
ヒレ肉,Tenderloin/Filet Mignon
わき腹肉,Flank
腰肉の上部,Sirloin
しり肉,Rump
もも肉,Round
膝肉,Knuckle
尾,Tail
スジ肉,Gristle
のど肉/あご,Jowl
後頭部,Clear Plate
首のつけね,Shoulder
肩肉,Picnic Shoulder
豚足,Pettitoes
肩ロース肉,Boston Butt
あばら肉,Spareribs
腹部肉,Side Pork/Pork Belly
ロース肉,Pork Loin
腰肉,Loin
もも肉,Ham
尾,Tail
1羽まるごと,Whole
手羽先,Wings
胸肉,Breast
レバー,Liver
砂肝,Gizzard
もも,Thigh
足,Drumstick/Legs
軟骨,Cartilage
